,rsmi,psmi,ea,dh,Hf_r,Hf_p,Hf_ts,AE_mopac,DH_mopac,AE_no_zpe,ER_no_zpe,RXN_no_zpe,ae_diff,dh_diff
2,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],102.656627519415,12.050720266176699,-91.57616,-86.48438,-5.3512900000000005,86.22487,5.09178,107.95,93.31,14.64,21.725130000000007,9.54822
3,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,76.8302789832605,22.023014277994104,-91.57616,-66.26796,-19.22197,72.35419,25.3082,80.12,56.47,23.65,7.765810000000002,-1.6582000000000008
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],71.7133166620166,6.39740378304716,-91.57616,-88.5121,-41.04425,50.531909999999996,3.0640599999999982,77.39,67.75,9.65,26.858090000000004,6.585940000000003
9,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],78.8759781401856,8.47041029208603,23.80224,19.75937,88.52516999999997,64.72292999999999,-4.0428700000000015,83.35,71.64,11.71,18.627070000000003,15.752870000000001
10,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],114.531396362491,23.0740987968796,23.80224,4.28758,111.07514,87.27289999999998,-19.51466,122.0,91.34,30.66,34.72710000000002,50.17466
11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],83.629622546034,76.1377151859553,23.80224,72.94934,105.50338,81.70114000000002,49.14710000000001,88.36,7.68,80.68,6.658859999999976,31.532899999999998
14,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],60.4030553504961,41.1169208120785,11.2675,33.20778,76.20832,64.94082,21.940279999999998,64.0,21.21,42.79,-0.9408200000000022,20.84972
15,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],49.6474259394132,1.1960065290271398,11.2675,13.59105,67.2957,56.0282,2.323549999999999,53.38,52.22,1.16,-2.6481999999999957,-1.1635499999999992
16,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],77.6136980096243,9.75050122268176,11.2675,7.742000000000001,103.20266,91.93516,-3.5255,82.63,70.35,12.28,-9.30516,15.805499999999999
17,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],43.0770484353892,-8.18911930739081,11.2675,-2.42977,56.87565,45.60815,-13.697270000000001,46.45,54.52,-8.07,0.8418500000000009,5.627270000000001
20,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],101.666348634546,75.53674915272329,11.2675,54.4773,80.74235,69.47485,43.2098,107.17,25.42,81.76,37.69515,38.550200000000004
21,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:2]1=[N:3][C:4]([H:8])=[N:5][N:6]=1.[O:1]([H:7])[H:9],77.8557914168175,70.29633230007171,11.2675,73.035,90.40224,79.13474000000002,61.7675,81.72,10.17,71.55,2.585259999999977,9.782499999999999
22,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],97.40290661831793,68.9486113969418,11.2675,73.41399,108.79186,97.52436000000002,62.14649,101.63,29.7,71.93,4.10563999999998,9.783510000000007
23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],63.7672992013324,8.34968761963249,-65.05184,-55.47595,-14.61202,50.439820000000005,9.57589,69.18,57.58,11.6,18.740180000000002,2.0241100000000003
25,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],90.47659038190771,33.9692360180621,-65.05184,-60.16335,0.80886,65.8607,4.888489999999997,97.3,54.01,43.29,31.439300000000003,38.40151
26,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],111.04088668402099,29.704288539459892,-65.05184,-32.20537,55.54348,120.59532,32.846470000000004,118.23,83.32,34.91,-2.365319999999997,2.063529999999993
